subj,rel,obj,valid,transitivity
Metric,usesMetric,Metric,y,y
Metric,usesMethod,Method,y,y
Metric,usesTask,Task,y,y
Metric,usesOtherEntity,OtherEntity,y,y
Metric,usesMaterial,Material,y,y
Method,usesMetric,Metric,y,y
Method,usesMethod,Method,y,y
Method,usesTask,Task,y,y
Method,usesOtherEntity,OtherEntity,y,y
Method,usesMaterial,Material,y,y
Task,usesMetric,Metric,y,y
Task,usesMethod,Method,y,y
Task,usesTask,Task,y,y
Task,usesOtherEntity,OtherEntity,y,y
Task,usesMaterial,Material,y,y
OtherEntity,usesMetric,Metric,y,y
OtherEntity,usesMethod,Method,y,y
OtherEntity,usesTask,Task,n,n
OtherEntity,usesOtherEntity,OtherEntity,y,y
OtherEntity,usesMaterial,Material,y,y
Material,usesMetric,Metric,n,
Material,usesMethod,Method,n,
Material,usesTask,Task,n,
Material,usesOtherEntity,OtherEntity,n,
Material,usesMaterial,Material,n,
Metric,producesMetric,Metric,n,
Metric,producesMethod,Method,n,
Metric,producesTask,Task,n,
Metric,producesOtherEntity,OtherEntity,n,
Metric,producesMaterial,Material,n,
Method,producesMetric,Metric,y,n
Method,producesMethod,Method,y,
Method,producesTask,Task,y,
Method,producesOtherEntity,OtherEntity,y,y
Method,producesMaterial,Material,y,n
Task,producesMetric,Metric,y,n
Task,producesMethod,Method,y,n
Task,producesTask,Task,y,y
Task,producesOtherEntity,OtherEntity,y,y
Task,producesMaterial,Material,y,n
OtherEntity,producesMetric,Metric,y,n
OtherEntity,producesMethod,Method,y,y
OtherEntity,producesTask,Task,n,n
OtherEntity,producesOtherEntity,OtherEntity,y,y
OtherEntity,producesMaterial,Material,y,n
Material,producesMetric,Metric,n,
Material,producesMethod,Method,n,
Material,producesTask,Task,n,
Material,producesOtherEntity,OtherEntity,n,
Material,producesMaterial,Material,n,
Metric,providesMetric,Metric,n,
Metric,providesMethod,Method,n,
Metric,providesTask,Task,n,
Metric,providesOtherEntity,OtherEntity,y,y
Metric,providesMaterial,Material,n,
Method,providesMetric,Metric,y,n
Method,providesMethod,Method,y,y
Method,providesTask,Task,y,y
Method,providesOtherEntity,OtherEntity,y,y
Method,providesMaterial,Material,y,n
Task,providesMetric,Metric,y,n
Task,providesMethod,Method,y,y
Task,providesTask,Task,y,y
Task,providesOtherEntity,OtherEntity,y,y
Task,providesMaterial,Material,y,n
OtherEntity,providesMetric,Metric,y,n
OtherEntity,providesMethod,Method,y,y
OtherEntity,providesTask,Task,n,n
OtherEntity,providesOtherEntity,OtherEntity,y,y
OtherEntity,providesMaterial,Material,y,n
Material,providesMetric,Metric,n,
Material,providesMethod,Method,n,
Material,providesTask,Task,n,
Material,providesOtherEntity,OtherEntity,n,
Material,providesMaterial,Material,n,
Metric,supportsMetric,Metric,n,
Metric,supportsMethod,Method,y,n
Metric,supportsTask,Task,y,n
Metric,supportsOtherEntity,OtherEntity,y,n
Metric,supportsMaterial,Material,n,
Method,supportsMetric,Metric,y,n
Method,supportsMethod,Method,y,n
Method,supportsTask,Task,y,n
Method,supportsOtherEntity,OtherEntity,y,n
Method,supportsMaterial,Material,y,
Task,supportsMetric,Metric,y,
Task,supportsMethod,Method,y,n
Task,supportsTask,Task,y,n
Task,supportsOtherEntity,OtherEntity,y,n
Task,supportsMaterial,Material,y,
OtherEntity,supportsMetric,Metric,n,
OtherEntity,supportsMethod,Method,y,n
OtherEntity,supportsTask,Task,y,n
OtherEntity,supportsOtherEntity,OtherEntity,y,n
OtherEntity,supportsMaterial,Material,n,
Material,supportsMetric,Metric,n,
Material,supportsMethod,Method,y,n
Material,supportsTask,Task,y,n
Material,supportsOtherEntity,OtherEntity,y,n
Material,supportsMaterial,Material,n,
Metric,skos:broader/is/hyponym-of,Metric,y,y
Metric,skos:broader/is/hyponym-of,Method,n,
Metric,skos:broader/is/hyponym-of,Task,n,
Metric,skos:broader/is/hyponym-of,OtherEntity,n,
Metric,skos:broader/is/hyponym-of,Material,n,
Method,skos:broader/is/hyponym-of,Metric,n,
Method,skos:broader/is/hyponym-of,Method,y,y
Method,skos:broader/is/hyponym-of,Task,n,
Method,skos:broader/is/hyponym-of,OtherEntity,n,
Method,skos:broader/is/hyponym-of,Material,n,
Task,skos:broader/is/hyponym-of,Metric,n,
Task,skos:broader/is/hyponym-of,Method,n,
Task,skos:broader/is/hyponym-of,Task,y,y
Task,skos:broader/is/hyponym-of,OtherEntity,n,
Task,skos:broader/is/hyponym-of,Material,n,
OtherEntity,skos:broader/is/hyponym-of,Metric,n,
OtherEntity,skos:broader/is/hyponym-of,Method,n,
OtherEntity,skos:broader/is/hyponym-of,Task,n,
OtherEntity,skos:broader/is/hyponym-of,OtherEntity,y,y
OtherEntity,skos:broader/is/hyponym-of,Material,n,
Material,skos:broader/is/hyponym-of,Metric,n,
Material,skos:broader/is/hyponym-of,Method,n,
Material,skos:broader/is/hyponym-of,Task,n,
Material,skos:broader/is/hyponym-of,OtherEntity,n,
Material,skos:broader/is/hyponym-of,Material,y,y
Metric,proposesMetric,Metric,n,
Metric,proposesMethod,Method,n,
Metric,proposesTask,Task,n,
Metric,proposesOtherEntity,OtherEntity,n,
Metric,proposesMaterial,Material,n,
Method,proposesMetric,Metric,y,n
Method,proposesMethod,Method,y,n
Method,proposesTask,Task,y,n
Method,proposesOtherEntity,OtherEntity,y,n
Method,proposesMaterial,Material,y,n
Task,proposesMetric,Metric,y,n
Task,proposesMethod,Method,y,n
Task,proposesTask,Task,y,n
Task,proposesOtherEntity,OtherEntity,y,n
Task,proposesMaterial,Material,y,n
OtherEntity,proposesMetric,Metric,y,n
OtherEntity,proposesMethod,Method,y,n
OtherEntity,proposesTask,Task,y,n
OtherEntity,proposesOtherEntity,OtherEntity,y,n
OtherEntity,proposesMaterial,Material,y,n
Material,proposesMetric,Metric,n,
Material,proposesMethod,Method,n,
Material,proposesTask,Task,n,
Material,proposesOtherEntity,OtherEntity,n,
Material,proposesMaterial,Material,n,
Metric,based-onMetric,Metric,y,y
Metric,based-onMethod,Method,y,y
Metric,based-onTask,Task,y,y
Metric,based-onOtherEntity,OtherEntity,y,y
Metric,based-onMaterial,Material,y,y
Method,based-onMetric,Metric,y,y
Method,based-onMethod,Method,y,y
Method,based-onTask,Task,y,y
Method,based-onOtherEntity,OtherEntity,y,y
Method,based-onMaterial,Material,y,y
Task,based-onMetric,Metric,y,y
Task,based-onMethod,Method,y,y
Task,based-onTask,Task,y,y
Task,based-onOtherEntity,OtherEntity,y,y
Task,based-onMaterial,Material,y,y
OtherEntity,based-onMetric,Metric,y,y
OtherEntity,based-onMethod,Method,y,y
OtherEntity,based-onTask,Task,y,y
OtherEntity,based-onOtherEntity,OtherEntity,y,y
OtherEntity,based-onMaterial,Material,y,y
Material,based-onMetric,Metric,y,y
Material,based-onMethod,Method,y,y
Material,based-onTask,Task,y,y
Material,based-onOtherEntity,OtherEntity,y,y
Material,based-onMaterial,Material,y,y
Metric,improvesMetric,Metric,y,n
Metric,improvesMethod,Method,y,n
Metric,improvesTask,Task,y,n
Metric,improvesOtherEntity,OtherEntity,y,n
Metric,improvesMaterial,Material,y,n
Method,improvesMetric,Metric,y,n
Method,improvesMethod,Method,y,n
Method,improvesTask,Task,y,n
Method,improvesOtherEntity,OtherEntity,y,n
Method,improvesMaterial,Material,y,n
Task,improvesMetric,Metric,y,n
Task,improvesMethod,Method,y,n
Task,improvesTask,Task,y,n
Task,improvesOtherEntity,OtherEntity,y,n
Task,improvesMaterial,Material,y,n
OtherEntity,improvesMetric,Metric,y,n
OtherEntity,improvesMethod,Method,y,n
OtherEntity,improvesTask,Task,n,n
OtherEntity,improvesOtherEntity,OtherEntity,y,n
OtherEntity,improvesMaterial,Material,y,n
Material,improvesMetric,Metric,n,
Material,improvesMethod,Method,y,
Material,improvesTask,Task,y,
Material,improvesOtherEntity,OtherEntity,n,
Material,improvesMaterial,Material,n,
Metric,includesMetric,Metric,n,
Metric,includesMethod,Method,n,
Metric,includesTask,Task,n,
Metric,includesOtherEntity,OtherEntity,n,
Metric,includesMaterial,Material,n,
Method,includesMetric,Metric,y,n
Method,includesMethod,Method,y,y
Method,includesTask,Task,y,y
Method,includesOtherEntity,OtherEntity,y,y
Method,includesMaterial,Material,y,y
Task,includesMetric,Metric,y,n
Task,includesMethod,Method,y,y
Task,includesTask,Task,y,y
Task,includesOtherEntity,OtherEntity,y,y
Task,includesMaterial,Material,y,
OtherEntity,includesMetric,Metric,y,n
OtherEntity,includesMethod,Method,y,y
OtherEntity,includesTask,Task,n,n
OtherEntity,includesOtherEntity,OtherEntity,y,y
OtherEntity,includesMaterial,Material,y,y
Material,includesMetric,Metric,y,n
Material,includesMethod,Method,n,
Material,includesTask,Task,n,
Material,includesOtherEntity,OtherEntity,y,y
Material,includesMaterial,Material,y,y
Metric,identifiesMetric,Metric,n,
Metric,identifiesMethod,Method,n,
Metric,identifiesTask,Task,n,
Metric,identifiesOtherEntity,OtherEntity,n,
Metric,identifiesMaterial,Material,n,
Method,identifiesMetric,Metric,y,n
Method,identifiesMethod,Method,y,n
Method,identifiesTask,Task,y,n
Method,identifiesOtherEntity,OtherEntity,y,n
Method,identifiesMaterial,Material,y,n
Task,identifiesMetric,Metric,y,n
Task,identifiesMethod,Method,y,n
Task,identifiesTask,Task,y,n
Task,identifiesOtherEntity,OtherEntity,y,n
Task,identifiesMaterial,Material,y,n
OtherEntity,identifiesMetric,Metric,y,n
OtherEntity,identifiesMethod,Method,y,n
OtherEntity,identifiesTask,Task,y,n
OtherEntity,identifiesOtherEntity,OtherEntity,y,n
OtherEntity,identifiesMaterial,Material,y,n
Material,identifiesMetric,Metric,n,
Material,identifiesMethod,Method,n,
Material,identifiesTask,Task,n,
Material,identifiesOtherEntity,OtherEntity,n,
Material,identifiesMaterial,Material,n,
Metric,acquiresMetric,Metric,n,
Metric,acquiresMethod,Method,n,
Metric,acquiresTask,Task,n,
Metric,acquiresOtherEntity,OtherEntity,n,
Metric,acquiresMaterial,Material,n,
Method,acquiresMetric,Metric,y,n
Method,acquiresMethod,Method,y,y
Method,acquiresTask,Task,y,
Method,acquiresOtherEntity,OtherEntity,y,y
Method,acquiresMaterial,Material,y,n
Task,acquiresMetric,Metric,y,n
Task,acquiresMethod,Method,y,y
Task,acquiresTask,Task,y,y
Task,acquiresOtherEntity,OtherEntity,y,y
Task,acquiresMaterial,Material,y,n
OtherEntity,acquiresMetric,Metric,y,n
OtherEntity,acquiresMethod,Method,y,y
OtherEntity,acquiresTask,Task,n,n
OtherEntity,acquiresOtherEntity,OtherEntity,y,y
OtherEntity,acquiresMaterial,Material,y,n
Material,acquiresMetric,Metric,n,
Material,acquiresMethod,Method,n,
Material,acquiresTask,Task,n,
Material,acquiresOtherEntity,OtherEntity,n,
Material,acquiresMaterial,Material,n,
